0,9500,19000,28500,38000,47500,57000,66500,76000,85500,95000,104500,114000,123500,133000,142500,152000,161500,171000,180500,190000,199500,209000,218500,228000,237500,247000,256500,266000,275500,285000,294500,304000,313500,323000,332500,342000,351500,361000,370500,380000,389500,399000,408500,418000,427500,437000,446500,456000,465500,475000,484500,494000,503500,513000,522500,532000,541500,551000,560500,570000,579500,589000,598500,608000,617500,627000,636500,646000,655500,665000,674500,684000,693500,703000,712500,722000,731500,741000,750500,760000,769500,779000,788500,798000,807500,817000,826500,836000,845500,855000,864500,874000,883500,893000,902500,912000,921500,931000,940500,950000
20000,0,0,3148.9314614302,3115.34492425048,3115.94905430904,3116.60389376062,3116.82342839364,3116.85030275087,3116.80377253723,3116.73305726851,3116.65805889403,3116.5865787957,3116.52134202241,3116.46293396245,3116.41106418132,3116.36512062883,3116.32441261941,3116.28827390722,3116.25610209917,3116.22736926589,3116.20161997847,3116.17846437402,3116.15756977718,3116.13865245416,3116.12147014033,3116.10581553966,3116.09151079226,3116.07840282208,3116.06635944963,3116.05526615312,3116.04502337195,3116.03554426004,3116.02675281088,3116.01858228925,3116.01097391608,3116.00387576218,3115.99724181503,3115.99103118884,3115.985207454,3115.97973806588,3115.97459387683,3115.96974871792,3115.9651790394,3115.9608636007,3115.95678320235,3115.95292045356,3115.94925957009,3115.94578619803,3115.94248725981,3115.93935081921,3115.9363659628,3115.93352269562,3115.93081184901,3115.92822499917,3115.92575439497,3115.9233928938,3115.92113390454,3115.91897133665,3115.91689955471,3115.91491333776,3115.9130078428,3115.91117857206,3115.90942134349,3115.90773226424,3115.90610770665,3115.90454428664,3115.90303884405,3115.90158842487,3115.90019026512,3115.89884177616,3115.89754053131,3115.89628425372,3115.89507080521,3115.89389817616,3115.89276447619,3115.89166792565,3115.89060684782,3115.88957966178,3115.88858487576,3115.88762108115,3115.88668694688,3115.8857812143,3115.88490269243,3115.88405025355,3115.8832228292,3115.8824194064,3115.88163902416,3115.88088077031,3115.88014377845,3115.87942722524,3115.87873032777,3115.8780523412,3115.8773925565,3115.8767502984,3115.87612492341,3115.87551581807,3115.87492239718,3115.87434410233,3115.87378040032,3115.87323078185
40000,0,0,3163.80288656381,3114.47291351058,3116.02216357592,3117.34924500276,3117.79382531672,3117.85173028267,3117.76174738421,3117.62251493846,3117.47407803992,3117.33223399641,3117.20257062995,3117.0863522463,3116.98306098167,3116.89151543189,3116.81036350815,3116.73829309325,3116.67411379347,3116.61678007038,3116.56538857409,3116.51916511613,3116.47744848268,3116.43967433436,3116.40536053426,3116.37409433928,3116.34552147279,3116.31933691955,3116.2952772238,3116.27311406551,3116.25264890742,3116.23370853199,3116.21614131456,3116.19981410451,3116.1846096086,3116.17042418911,3116.15716600575,3116.14475344248,3116.13311377155,3116.12218201541,3116.11189997403,3116.10221539117,3116.09308123751,3116.08445509247,3116.07629860957,3116.06857705281,3116.06125889343,3116.0543154584,3116.04772062302,3116.04145054167,3116.03548341117,3116.02979926247,3116.02437977678,3116.01920812298,3116.01426881346,3116.00954757613,3116.00503124042,3116.00070763576,3115.99656550075,3115.99259440194,3115.98878466099,3115.98512728925,3115.9816139289,3115.97823679986,3115.974988652,3115.97186272181,3115.96885269323,3115.96595266213,3115.96315710408,3115.96046084504,3115.95785903464,3115.95534712188,3115.95292083293,3115.95057615082,3115.9483092969,3115.94611671383,3115.94399504997,3115.94194114512,3115.93995201731,3115.9380248507,3115.9361569845,3115.9343459026,3115.93258922418,3115.93088469486,3115.9292301787,3115.92762365063,3115.92606318955,3115.92454697186,3115.92307326555,3115.9216404246,3115.92024688385,3115.91889115422,3115.9175718182,3115.91628752578,3115.9150369905,3115.91381898586,3115.91263234195,3115.91147594231,3115.91034872096,3115.90924965964
60000,0,0,3167.04793043609,3113.30186535942,3116.06251892914,3118.07472760004,3118.74900595912,3118.84179482136,3118.71129987053,3118.50567885019,3118.28532531119,3118.0742115451,3117.88091850833,3117.70747920821,3117.55320934804,3117.41639973914,3117.29506551532,3117.18726866663,3117.09124494541,3117.0054413677,3116.92851406815,3116.85931000163,3116.79684350622,3116.7402727329,3116.68887804205,3116.64204307626,3116.59923857349,3116.56000870747,3116.52395964309,3116.49074998071,3116.46008278668,3116.43169894382,3116.40537159554,3116.38090149393,3116.35811309513,3116.33685127252,3116.31697854196,3116.29837271198,3116.28092488768,3116.26453776982,3116.24912420093,3116.23460591877,3116.22091248437,3116.20798035751,3116.195752097,3116.18417566706,3116.17320383405,3116.16279364044,3116.15290594484,3116.14350501895,3116.13455819339,3116.1260355459,3116.11790962606,3116.11015521186,3116.10274909384,3116.09566988346,3116.08889784243,3116.0824147306,3116.07620367,3116.07024902317,3116.06453628406,3116.05905198005,3116.05378358374,3116.04871943355,3116.04384866196,3116.03916113071,3116.03464737208,3116.03029853571,3116.02610634028,3116.02206302955,3116.01816133244,3116.01439442652,3116.01075590479,3116.00723974525,3116.00384028307,3116.00055218517,3115.9973704268,3115.99429027013,3115.99130724449,3115.98841712829,3115.98561593227,3115.98289988412,3115.98026541429,3115.97770914281,3115.97522786721,3115.97281855126,3115.97047831458,3115.96820442297,3115.96599427949,3115.96384541617,3115.96175548622,3115.95972225692,3115.95774360288,3115.95581749984,3115.95394201887,3115.95211532091,3115.95033565176,3115.94860133734,3115.94691077925,3115.94526245065
80000,0,0,3162.99246414861,3111.90001502276,3116.07547528461,3118.78170895931,3119.68955145588,3119.82079236014,3119.65259501627,3119.38264687398,3119.09186164813,3118.81255095198,3118.55641216894,3118.32633317156,3118.12152227472,3117.93978297587,3117.77852561483,3117.63520587946,3117.50749957325,3117.39335627596,3117.29099891136,3117.19890097909,3117.11575641348,3117.04044891994,3116.97202370327,3116.9096626083,3116.85266280732,3116.80041878264,3116.75240721021,3116.70817432472,3116.66732537273,3116.62951580646,3116.59444392143,3116.56184468889,3116.53148457658,3116.50315718754,3116.47667957691,3116.45188913195,3116.428640921,3116.40680543397,3116.38626665049,3116.36692038337,3116.34867285368,3116.33143946172,3116.31514372369,3116.29971634936,3116.28509443971,3116.27122078727,3116.25804326424,3116.24551428632,3116.23359034149,3116.22223157505,3116.2114014234,3116.20106629002,3116.19119525821,3116.18175983603,3116.17273372911,3116.16409263819,3116.15581407811,3116.14787721586,3116.14026272529,3116.13295265669,3116.12593031935,3116.11918017577,3116.11268774621,3116.1064395223,3116.10042288894,3116.09462605337,3116.0890379809,3116.08364833638,3116.07844743094,3116.07342617345,3116.06857602622,3116.0638889645,3116.05935743943,3116.05497434411,3116.05073298246,3116.04662704067,3116.04265056094,3116.03879791731,3116.03506379338,3116.03144316185,3116.02793126557,3116.02452360003,3116.02121589722,3116.01800411064,3116.01488440146,3116.0118531257,3116.00890682223,3116.00604220179,3116.00325613662,3116.00054565096,3115.99790791209,3115.99534022205,3115.99284000992,3115.99040482455,3115.98803232788,3115.98572028861,3115.98346657631,3115.98126915594
100000,0,0,3154.54851750523,3110.32473565402,3116.065805916,3119.47146125132,3120.61601583858,3120.78900880716,3120.58579346604,3120.25351477407,3119.89374689537,3119.54729112104,3119.22907777038,3118.94293224558,3118.68801262125,3118.46167447987,3118.26075072224,3118.08210994395,3117.92288166744,3117.78052789354,3117.65284554016,3117.5379399866,3117.43418876239,3117.34020415983,3117.25479855302,3117.1769537897,3117.10579488463,3117.04056773976,3116.98062042625,3116.92538752225,3116.87437702753,3116.82715943,3116.78335855918,3116.7426439202,3116.70472425339,3116.66934210896,3116.63626926357,3116.60530283673,3116.5762619899,3116.54898511251,3116.52332741553,3116.49915886752,3116.47636241905,3116.4548324709,3116.43447354864,3116.41519915271,3116.39693075813,3116.37959694191,3116.36313262013,3116.34747837906,3116.33257988747,3116.31838737902,3116.30485519531,3116.29194138164,3116.27960732869,3116.26781745407,3116.25653891901,3116.24574137556,3116.23539674073,3116.22547899441,3116.21596399795,3116.20682933143,3116.19805414702,3116.18961903698,3116.18150591444,3116.17369790558,3116.16617925213,3116.15893522283,3116.15195203315,3116.14521677222,3116.13871733637,3116.13244236846,3116.12638120263,3116.12052381364,3116.11486077071,3116.10938319505,3116.10408272106,3116.09895146062,3116.0939819703,3116.08916722116,3116.08450057103,3116.07997573881,3116.07558678086,3116.0713280692,3116.06719427122,3116.0631803311,3116.05928145242,3116.05549308215,3116.05181089574,3116.04823078332,3116.04474883681,3116.041361338,3116.0380647474,3116.0348556939,3116.03173096504,3116.02868749809,3116.02572237154,3116.02283279729,3116.02001611327,3116.01726977658
120000,2560.38760563817,0,3143.68845668878,3108.62394507926,3116.03774870131,3120.14516664454,3121.52892714034,3121.74672030936,3121.51105160435,3121.11837625561,3120.69103982299,3120.27847036028,3119.89894112372,3119.55729432815,3119.25269311398,3118.98208350236,3118.74174769534,3118.52798603286,3118.33739519091,3118.1669592992,3118.01405637683,3117.87642895189,3117.75214210312,3117.63953971108,3117.53720362198,3117.44391747139,3117.35863551313,3117.28045617148,3117.20859979067,3117.14238999671,3117.08123811203,3117.0246301237,3116.97211577503,3116.92329941814,3116.87783232558,3116.83540621117,3116.79574775459,3116.75861396041,3116.72378821258,3116.69107690997,3116.66030658874,3116.63132145364,3116.60398125399,3116.57815945079,3116.55374163074,3116.53062413003,3116.50871283695,3116.48792214739,3116.46817405142,3116.4493973324,3116.43152686333,3116.4145029869,3116.39827096827,3116.38278051091,3116.36798532736,3116.35384275782,3116.34031343067,3116.32736095971,3116.31495167351,3116.30305437321,3116.29164011531,3116.2806820165,3116.27015507807,3116.26003602765,3116.25030317632,3116.24093628951,3116.23191646998,3116.22322605182,3116.2148485042,3116.20676834376,3116.19897105496,3116.19144301738,3116.18417143943,3116.17714429773,3116.17035028163,3116.16377874243,3116.15741964677,3116.15126353387,3116.14530147619,3116.13952504327,3116.13392626842,3116.12849761798,3116.12323196298,3116.11812255295,3116.11316299172,3116.10834721502,3116.10366946967,3116.09912429441,3116.09470650199,3116.09041116261,3116.08623358853,3116.08216931969,3116.07821411038,3116.07436391684,3116.07061488564,3116.06696334285,3116.063405784,3116.05993886457,3116.05655939125,3116.05326431362
140000,2555.14968950481,0,3131.73273051083,3106.83735111844,3115.99504990136,3120.80392235726,3122.42878847056,3122.69419356873,3122.42852166855,3121.97732301062,3121.48379814714,3121.00612639174,3120.56602769774,3120.16943710869,3119.81557634771,3119.50101920897,3119.2215233347,3118.9728392798,3118.75104407922,3118.5526535523,3118.37463382959,3118.21436979233,3118.06961797819,3117.93845682645,3117.81923993646,3117.71055450087,3117.61118539788,3117.52008466837,3117.4363458013,3117.35918217024,3117.28790898613,3117.22192819599,3117.16071583458,3117.10381141247,3117.05080899271,3117.00134966823,3116.95511520235,3116.91182263686,3116.87121970701,3116.83308093066,3116.79720426263,3116.76340822405,3116.73152943191,3116.70142046701,3116.67294802884,3116.64599133419,3116.62044072379,3116.59619644668,3116.57316759694,3116.55127118155,3116.53043130103,3116.51057842775,3116.49164876877,3116.47358370198,3116.45632927631,3116.43983576747,3116.42405728262,3116.40895140767,3116.39447889206,3116.38060336665,3116.36729109062,3116.35451072415,3116.34223312381,3116.33043115822,3116.31907954156,3116.30815468307,3116.29763455082,3116.2874985481,3116.27772740126,3116.2683030577,3116.25920859295,3116.250428126,3116.24194674206,3116.23375042183,3116.22582597693,3116.21816099066,3116.21074376371,3116.20356326427,3116.19660908224,3116.18987138704,3116.18334088876,3116.17700880238,3116.17086681473,3116.16490705394,3116.15912206121,3116.15350476472,3116.14804845541,3116.14274676455,3116.13759364293,3116.13258334153,3116.12771039354,3116.12296959767,3116.11835600258,3116.11386489237,3116.10949177311,3116.10523236017,3116.10108256651,3116.09703849164,3116.09309641137,3116.08925276814
160000,2550.06724053284,0,3119.53944124743,3104.99755637592,3115.94100551615,3121.44874552706,3123.31607905957,3123.63168615103,3123.33835185948,3122.83044476328,3122.27207855045,3121.73029636137,3121.23036262395,3120.77937807088,3120.37667478726,3120.01849068067,3119.70008438428,3119.41667477961,3119.16383224085,3118.93761369286,3118.73458029272,3118.55176441507,3118.38661792249,3118.23695675293,3118.10090851836,3117.9768657223,3117.86344524135,3117.759453819,3117.66385895437,3117.57576446368,3117.49439000871,3117.41905395449,3117.34915900277,3117.28418013236,3117.22365445389,3117.16717265382,3117.11437175889,3117.06492899968,3117.01855659099,3116.97499727874,3116.93402052961,3116.89541926094,3116.85900702612,3116.82461558514,3116.79209280172,3116.76130081801,3116.73211446622,3116.70441988268,3116.67811329553,3116.65309996167,3116.62929323248,3116.60661373061,3116.58498862325,3116.564350979,3116.5446391976,3116.52579650322,3116.50777049337,3116.49051273642,3116.47397841203,3116.45812598913,3116.44291693715,3116.4283154666,3116.41428829553,3116.40080443915,3116.38783501981,3116.37535309523,3116.36333350297,3116.35175271937,3116.34058873151,3116.32982092072,3116.31942995656,3116.30939770015,3116.29970711593,3116.290342191,3116.28128786133,3116.27252994417,3116.26405507603,3116.25585065572,3116.24790479211,3116.24020625587,3116.23274443523,3116.22550929502,3116.21849133897,3116.21168157484,3116.2050714822,3116.19865298258,3116.19241841187,3116.18636049468,3116.18047232055,3116.17474732193,3116.16917925359,3116.16376217362,3116.15849042557,3116.15335862197,3116.14836162885,3116.14349455135,3116.13875272032,3116.13413167969,3116.12962717475,3116.12523514119
180000,2545.13444617842,0,3107.63790680629,3103.13103933129,3115.87850027046,3122.0805778977,3124.19125527312,3124.55944678705,3124.24068644971,3123.67782931417,3123.05593670202,3122.45101684879,3121.89197070171,3121.38713449548,3120.93600076902,3120.53450691469,3120.17743753196,3119.85949758871,3119.57576355742,3119.32184274182,3119.09389814663,3118.88861471709,3118.70314346331,3118.53504073179,3118.38221038525,3118.24285197648,3118.1154157434,3117.99856420986,3117.89113974449,3117.79213729661,3117.70068153764,3117.61600770597,3117.53744554386,3117.46440580648,3117.39636890782,3117.33287534126,3117.27351757598,3117.21793318222,3117.16579898208,3117.11682605821,3117.07075548193,3117.02735464637,3116.98641410982,3116.94774487065,3116.91117600807,3116.87655263423,3116.84373411174,3116.81259249829,3116.78301118596,3116.75488370793,3116.72811268961,3116.70260892451,3116.67829055817,3116.65508236609,3116.63291511329,3116.61172498528,3116.59145308143,3116.57204496296,3116.55345024903,3116.53562225501,3116.51851766816,3116.5020962561,3116.48632060455,3116.47115588091,3116.45656962078,3116.44253153497,3116.42901333477,3116.41598857339,3116.40343250215,3116.39132193952,3116.37963515203,3116.36835174563,3116.35745256646,3116.3469196103,3116.33673593957,3116.32688560739,3116.31735358786,3116.3081257121,3116.29918860941,3116.29052965318,3116.28213691104,3116.27399909889,3116.26610553849,3116.25844611829,3116.25101125717,3116.24379187094,3116.23677934127,3116.22996548688,3116.22334253681,3116.21690310566,3116.21064017045,3116.20454704919,3116.19861738093,3116.19284510711,3116.18722445426,3116.18174991774,3116.1764162467,3116.17121842989,3116.16615168252,3116.16121143385
200000,2540.34515953008,0,3096.32701280267,3101.25902549897,3115.8100442857,3122.70029032416,3125.05475159683,3125.47771566648,3125.13566588957,3124.51956258384,3123.83542727704,3123.16832387688,3122.55087640319,3121.99272346298,3121.49356650252,3121.04907682541,3120.65358941013,3120.30131272547,3119.9868418839,3119.70534370109,3119.45258975797,3119.22492258523,3119.01919612044,3118.83270999867,3118.66314655036,3118.50851410091,3118.36709760131,3118.23741642544,3118.11818866468,3118.00830108732,3117.90678392975,3117.81278975642,3117.72557572144,3117.64448866295,3117.56895255273,3117.49845790351,3117.43255280509,3117.3708353176,3117.31294699766,3117.2585673729,3117.2074092117,3117.15921446228,3117.11375075613,3117.07080838892,3117.03019770653,3116.99174683554,3116.95529970781,3116.92071433635,3116.88786130698,3116.85662245542,3116.82688970429,3116.79856403843,3116.77155459995,3116.74577788737,3116.72115704542,3116.69762123381,3116.6751050653,3116.65354810428,3116.63289441868,3116.61309217869,3116.59409329689,3116.57585310486,3116.55833006215,3116.54148549393,3116.52528335412,3116.50969001126,3116.49467405453,3116.48020611788,3116.46625872035,3116.45280612078,3116.4398241856,3116.42729026824,3116.41518309907,3116.4034826848,3116.39217021638,3116.38122798474,3116.37063930336,3116.36038843728,3116.35046053779,3116.34084158238,3116.3315183194,3116.32247821701,3116.31370941614,3116.30520068696,3116.29694138864,3116.28892143216,3116.28113124582,3116.27356174323,3116.26620429369,3116.2590506946,3116.25209314585,3116.24532422603,3116.2387368702,3116.23232434928,3116.22608025074,3116.21999846065,3116.21407314688,3116.20829874345,3116.20266993581,3116.19718164718
