0,349.5,699,1048.5,1398,1747.5,2097,2446.5,2796,3145.5,3495,3844.5,4194,4543.5,4893,5242.5,5592,5941.5,6291,6640.5,6990,7339.5,7689,8038.5,8388,8737.5,9087,9436.5,9786,10135.5,10485,10834.5,11184,11533.5,11883,12232.5,12582,12931.5,13281,13630.5,13980,14329.5,14679,15028.5,15378,15727.5,16077,16426.5,16776,17125.5,17475,17824.5,18174,18523.5,18873,19222.5,19572,19921.5,20271,20620.5,20970,21319.5,21669,22018.5,22368,22717.5,23067,23416.5,23766,24115.5,24465,24814.5,25164,25513.5,25863,26212.5,26562,26911.5,27261,27610.5,27960,28309.5,28659,29008.5,29358,29707.5,30057,30406.5,30756,31105.5,31455,31804.5,32154,32503.5,32853,33202.5,33552,33901.5,34251,34600.5,34950
1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3487.46532127078,3370.0287578023,3284.85139046085,3224.80010058188,3183.60757793101,3156.12943002503,3138.35663446147,3127.28596358848,3120.73559044433,3117.15864399433,3115.48094228871,3114.97067649286,3115.13884737412,3115.66576439208,3116.34801687844,3117.06085661139,3117.73189478759,3118.32293363683,3118.81753318837,3119.21263445212,3119.51299816463,3119.72754759951,3119.86704985505,3119.94267978513,3119.96516971785,3119.94435465971,3119.88896027569,3119.80654650646,3119.70354571477,3119.5853457027,3119.45640282107,3119.32035610104,3119.18014812262,3119.03812500052,3118.89613956168,3118.75563219387,3118.61770355977,3118.48317953603,3118.35266156034,3118.226571716,3118.10518811558,3117.98867473611,3117.87710682346,3117.77048966196,3117.66877486727,3117.57187387958,3117.47966842321,3117.39201846848,3117.308769006,3117.22975459487,3117.15480456906,3117.08374568314,3117.0164042307,3116.95260932371,3116.89219219397,3116.83498839134,3116.78083908368,3116.72959054325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3392.58754757506,3296.59099584313,3228.95435955548,3182.95960961132,3152.84959657443,3134.00522374053,3122.90088726462,3116.94878518287,3114.30773247037,3113.70233738195,3114.27100987535,3115.44678458686,3116.86792591332,3118.31291014789,3119.65413601172,3120.8255429629,3121.80030261584,3122.5756964355,3123.16298138754,3123.58078253159,3123.85084235648,3123.99541390922,3124.03571691373,3123.99111964939,3123.87876625651,3123.7134939041,3123.50791674702,3123.27260142175,3123.01628180077,3122.74610111524,3122.46782808635,3122.18607042362,3121.90446356807,3121.6258369121,3121.3523550301,3121.08564058589,3120.82687610378,3120.57689381867,3120.33623835614,3120.10523371404,3119.88402664885,3119.67262668033,3119.47093915494,3119.27878786063,3119.09594048883,3118.92211873237,3118.7570153677,3118.60030434394,3118.45164742716,3118.31070355392,3118.17712744437,3118.05058043307,3117.93072983666,3117.81724946028,3117.70982502748,3117.60815158793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3420.49099082891,3313.95375387373,3238.19040208725,3186.50928763717,3152.83002354623,3132.06865371356,3120.23225783957,3114.33252454803,3112.21702847888,3112.3848944893,3113.82052600977,3115.85780864061,3118.07572958921,3120.22118114501,3122.15345480613,3123.80517898886,3125.15533224735,3126.21087523668,3126.99452653997,3127.53677433645,3127.87082404016,3128.02949400127,3128.04346845448,3127.94038836702,3127.74450418759,3127.47666700923,3127.15451628064,3126.79276262494,3126.40353570979,3125.99671297326,3125.58025393198,3125.16049525587,3124.74241969481,3124.32988468917,3123.92583338326,3123.53245058117,3123.15131648931,3122.78352227909,3122.42977091728,3122.09045408249,3121.76572244608,3121.45554048131,3121.15972773619,3120.87799476644,3120.60997347135,3120.3552391629,3120.11332363595,3119.88373858796,3119.66597904521,3119.4595355936,3119.26389925016,3119.07856822132,3118.90305107001,3118.73687037223,3118.57956034019,3118.4306754593,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3379.45107812828,3282.54883579761,3214.3483366374,3168.6484044414,3139.72897735041,3122.77166080765,3113.98157517827,3110.52037954362,3110.35146027185,3112.06499481104,3114.7181722481,3117.70389385388,3120.64949034121,3123.34175056275,3125.67307077717,3127.60361021369,3129.13526405966,3130.29404488205,3131.11850129221,3131.65223522401,3131.93925847149,3132.02129189229,3131.93629762711,3131.71784625547,3131.39499064327,3130.99245327077,3130.53095644499,3130.02767050525,3129.49664412368,3128.94925461304,3128.39460274283,3127.83988836765,3127.29072675072,3126.75142225944,3126.22521233376,3125.71447276918,3125.22087136272,3124.74551780907,3124.28908268082,3123.85187841487,3123.43394741006,3123.03512262261,3122.65507116415,3122.29334682558,3121.94941537925,3121.62267963308,3121.31250366392,3121.01822917831,3120.73918410684,3120.47469630612,3120.22409820777,3119.98673517014,3119.76196921802,3119.54917768619,3119.34776343197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3366.11504412233,3271.77488872923,3205.23706229001,3160.87256995543,3133.22596451849,3117.55989770324,3110.07042474069,3107.87800816852,3108.90254273784,3111.70097675709,3115.31044199508,3119.11560522282,3122.74467846633,3125.99155504439,3128.75953352549,3131.02161806569,3132.79317530422,3134.1134501145,3135.03340981772,3135.60797397535,3135.89122836205,3135.93368943944,3135.78089005623,3135.47283101002,3135.04396729608,3134.52349973177,3133.93585652069,3133.30120067725,3132.63601847371,3131.95361357118,3131.26461215713,3130.57740073679,3129.89849361259,3129.23288021807,3128.58428178298,3127.95541088531,3127.34815919111,3126.76376196528,3126.20293337038,3125.66597862144,3125.15288033378,3124.66338728656,3124.19704832167,3123.75328782689,3123.33142122976,3122.93069740908,3122.55032576795,3122.18947929559,3121.84733237752,3121.52304926936,3121.21580718071,3120.9248011969,3120.64924416847,3120.38837085107,3120.14144649095,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3273.00375141445,3204.72449736554,3158.85043648125,3130.27005888619,3114.28615817894,3106.98825233104,3105.34368402995,3107.12594632957,3110.77381751881,3115.23891020481,3119.84952594577,3124.20059560816,3128.0695958172,3131.35503348675,3134.03269394844,3136.12523874121,3137.68162994669,3138.76352106207,3139.43656079915,3139.76503681365,3139.80880735638,3139.62174336998,3139.25113253006,3138.73769359577,3138.11594079433,3137.41474582518,3136.65796272675,3135.86507810244,3135.05185716666,3134.23088293356,3133.41208591715,3132.6031996055,3131.81013881123,3131.03732398759,3130.28797893354,3129.56435486998,3128.86792382238,3128.19953362149,3127.5595538494,3126.94797685414,3126.36449189977,3125.80857766457,3125.27954389183,3124.77658341994,3124.2988052398,3123.84526807532,3123.41499465364,3123.00699499836,3122.62028204258,3122.25387731941,3121.9068202039,3121.57817491557,3121.26703113992,3120.97251543496,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3282.62791606024,3210.56776397576,3161.16896401007,3129.93829770466,3112.31501499111,3104.27170704622,3102.56257582929,3104.74045500061,3109.05637942263,3114.31894818529,3119.75603029819,3124.89719633761,3129.48115807705,3133.38662806529,3136.58253145707,3139.09300698521,3140.97352233546,3142.29496240342,3143.13337305277,3143.5636138417,3143.65566119913,3143.47269345623,3143.07033077548,3142.49658509226,3141.79225672836,3140.99154329709,3140.12277484188,3139.20915253164,3138.26946877806,3137.31876671121,3136.36896397039,3135.42935884489,3134.50708092354,3133.60750407729,3132.73455603127,3131.89100919991,3131.0787007095,3130.29872017474,3129.55158591651,3128.83734936423,3128.15570996629,3127.50610505551,3126.88776435008,3126.2997833248,3125.74113879358,3125.21075388901,3124.70750295593,3124.23025037314,3123.77784522926,3123.34915744389,3122.94307218457,3122.55849972318,3122.19438491066,3121.84970485863,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3221.79610592814,3167.47836209042,3132.14388965054,3111.63469358938,3101.90125466696,3099.48121555102,3101.65904154177,3106.4381914263,3112.42837063839,3118.7112397342,3124.71623579584,3130.11834319791,3134.75941536701,3138.590318956,3141.62974501335,3143.93576870913,3145.58663018964,3146.66823966657,3147.26632383833,3147.46177141803,3147.32812051725,3146.93047548079,3146.32530575618,3145.5607970372,3144.67749434654,3143.70910488409,3142.68332586482,3141.6226755537,3140.54526329274,3139.46546774021,3138.39458186924,3137.34130031674,3136.31222458538,3135.3122334815,3134.34479967828,3133.41228964309,3132.51616134153,3131.65716815275,3130.83551042748,3130.05095433602,3129.30294963373,3128.59067436206,3127.91315209195,3127.26925640254,3126.65778207153,3126.07747307935,3125.52703765683,3125.00517889229,3124.51060936916,3124.04205530422,3123.59827727557,3123.17806465573,3122.78025154643,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3237.60231672168,3177.766241884,3137.1737852094,3112.56894254153,3100.12375501794,3096.23936962224,3097.92374286028,3102.88707636778,3109.4857714912,3116.60573195387,3123.53643430606,3129.8593252631,3135.35828014315,3139.9519308413,3143.64446899398,3146.49118384295,3148.57483807655,3149.99008957052,3150.83351719121,3151.19756951344,3151.16717852239,3150.81814103086,3150.21663823779,3149.41946751199,3148.47465428146,3147.42231785157,3146.29557112061,3145.12146498423,3143.92183943219,3142.71414425017,3141.51213026572,3140.32649807175,3139.16541146845,3138.03496528199,3136.93957844564,3135.88232566169,3134.8651796751,3133.88926440461,3132.95501737611,3132.06234648446,3131.21076217777,3130.39945742095,3129.62739739806,3128.89339268628,3128.19612332113,3127.53420925364,3126.90622140174,3126.31071501702,3125.74624335272,3125.21138335309,3124.70473480264,3124.22493372066,3123.77065517796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3191.86149743219,3145.41159347062,3115.63432613895,3099.38650414963,3093.14452916301,3093.69963815397,3098.45144848701,3105.45572361402,3113.35033288512,3121.23880353444,3128.57276930496,3135.05154669287,3140.54295861,3145.02442591104,3148.54083443004,3151.17511515397,3153.02856467251,3154.20800974504,3154.8177947935,3154.95513852884,3154.70772366638,3154.15275991609,3153.35696819436,3152.37713299906,3151.26094394914,3150.04797927412,3148.7707404245,3147.45560651449,3146.12376912226,3144.79203638263,3143.47357706242,3142.17853584011,3140.91457397358,3139.68733025812,3138.50080076724,3137.35766636281,3136.25956438089,3135.20728310471,3134.200970909,3133.24027940858,3132.32446217709,3131.45248169419,3130.62309957145,3129.83492081746,3129.08645120283,3128.37613780216,3127.70239405406,3127.06362518199,3126.4582474418,3125.88470723632,3125.34147764363,3124.82708425428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
